comment,label,category
"Ai thích thì thích, tao chẳng quan tâm",neutral,indifference
"Tùy bạn thôi",neutral,indifference
"Không có ý kiến gì",neutral,no_opinion
"Bình thường thôi mà",neutral,mediocre
"Cũng được",neutral,acceptance
"Spam quá! Báo cáo liền",negative,complaint
"Quảng cáo hoài, chán quá",negative,annoyance
"Fake news! Đừng tin",negative,warning
"Lừa đảo đấy mọi người",negative,warning
"Clickbait quá đà",negative,criticism
"Con mẹ mày! Đồ khốn nạn",toxic,extreme_vulgar
"Thằng chó này nói lung tung",toxic,extreme_insult
"Đi chết đi! Ghét mày lắm",toxic,threat
"Mày xứng đáng bị đánh",toxic,threat
"Ước gì mày biến mất",toxic,hate
"LOL! Hài quá bạn ơi",positive,humor
"LMAO! Cười sặc cơm luôn",positive,humor
"Haha đúng vậy! Funny lắm",positive,humor
"Troll hay đấy! Upvote liền",positive,humor
"Bạn hài hước thật đấy",positive,compliment
"Đúng rồi! Tôi ủng hộ bạn",positive,support
"Tôi đồng tình với bạn 100%",positive,strong_agreement
"Bạn nói ra điều tôi nghĩ",positive,resonance
"Exactly! Chính xác luôn",positive,strong_agreement
"Tôi cũng nghĩ vậy",positive,agreement
"Hơi khó hiểu một chút",negative,confusion
"Không rõ bạn muốn nói gì",negative,unclear
"Giải thích thêm được không?",neutral,question
"Tôi chưa hiểu rõ lắm",negative,confusion
"Cần thêm thông tin",neutral,request
"Thanks bạn! Info hữu ích lắm",positive,gratitude
"Cảm ơn vì đã share",positive,gratitude
"Appreciate it! Cần lắm",positive,gratitude
"Thanks for sharing bạn nhé",positive,gratitude
"Much appreciated!",positive,gratitude
"Bạn ơi, link bị lỗi rồi",neutral,technical_issue
"Không load được hình",neutral,technical_issue
"Video không chạy",neutral,technical_issue
"Lỗi rồi bạn ơi",neutral,technical_issue
"Fix lỗi này đi bạn",neutral,request
"First! Đầu tiên",neutral,milestone
"Tôi đây! Present",neutral,attendance
"Có ai online không?",neutral,question
"Anyone here?",neutral,question
"Check-in hàng ngày",neutral,routine
"Repost nếu đồng ý",neutral,call_to_action
"Share để ủng hộ",neutral,call_to_action
"Like nếu thích",neutral,call_to_action
"Tag bạn vào xem",neutral,sharing
"Mention tôi nhé",neutral,request
"Bài viết hay, nhưng hơi dài",negative,mixed_feedback
"Content tốt, presentation chưa ổn",negative,mixed_feedback
"Ý tưởng hay nhưng thực hiện chưa tốt",negative,constructive_criticism
"Cần cải thiện một số điểm",negative,constructive_criticism
"Nhìn chung ổn, nhưng...",negative,mixed_feedback
"Mình thấy bình thường thôi",neutral,mediocre
"Không có gì đặc biệt",neutral,unremarkable
"Cũng tạm được",neutral,mediocre
"Bình thường như mọi khi",neutral,routine
"Không tệ nhưng cũng không xuất sắc",neutral,mediocre
"Drama gì vậy? Không hiểu",neutral,confusion
"Context là gì vậy?",neutral,question
"Backstory gì đây?",neutral,question
"Fill me in được không?",neutral,request
"Tôi miss gì rồi?",neutral,confusion
"Deadline khi nào vậy?",neutral,question
"Meeting lúc mấy giờ?",neutral,question
"Địa điểm ở đâu?",neutral,question
"Liên hệ qua đâu?",neutral,question
"Giá bao nhiêu vậy?",neutral,question
"Sold out rồi à?",neutral,inquiry
"Còn hàng không?",neutral,inquiry
"Ship COD được không?",neutral,inquiry
"Có warranty không?",neutral,inquiry
"Return policy như nào?",neutral,inquiry
"Trend này hot thật",positive,trending
"Viral quá rồi này",positive,popular
"Everyone's talking about this",positive,buzzing
"Đang trending #1",positive,trending
"Hot topic của tuần",positive,popular
"OOTD hôm nay",neutral,lifestyle
"Mood hôm nay",neutral,lifestyle
"Current status",neutral,update
"Location check-in",neutral,location
"Food diary",neutral,lifestyle
"Selfie Sunday",neutral,routine
"Throwback Thursday",neutral,routine
"Monday motivation",positive,motivational
"Weekend vibes",positive,lifestyle
"Friday feeling",positive,excitement
"Bạn làm video về chủ đề này được không?",neutral,request
"Tutorial này step by step chưa?",neutral,question
"Part 2 khi nào ra vậy?",neutral,anticipation
"Series này dài bao nhiêu tập?",neutral,question
"Bạn có plan làm về topic khác không?",neutral,suggestion
"Collab với ai đó đi bạn",neutral,suggestion
"Reaction video này đi",neutral,request
"Behind the scenes có không?",neutral,question
"Bloopers funny lắm, post đi",neutral,request
"Extended version có không?",neutral,question
"Nhạc nền là gì vậy?",neutral,question
"Font chữ gì đây?",neutral,question
"App edit gì vậy?",neutral,question
"Camera nào vậy bạn?",neutral,question
"Setup này bao nhiêu tiền?",neutral,question
"Gear list share được không?",neutral,request
"Preset này cho xin với",neutral,request
"Settings bao nhiêu vậy?",neutral,question
"ISO mấy vậy bạn?",neutral,technical
"Aperture bao nhiêu?",neutral,technical
"Mình cũng từng trải qua điều này",positive,empathy
"Totally relate! Tôi hiểu feeling này",positive,empathy
"Same here! Cùng cảnh ngộ",positive,solidarity
"Been there, done that",positive,experience
"Tôi cũng vậy, không alone đâu",positive,support
"Solidarity với bạn",positive,support
"You're not alone in this",positive,encouragement
"Chúng ta cùng nhau vượt qua",positive,support
"Tôi tin bạn làm được",positive,encouragement
"Stay strong bạn nhé",positive,encouragement
"Respect! Tôi admire bạn",positive,admiration
"Much respect cho dedication này",positive,respect
"Tôi ngưỡng mộ sự kiên trì của bạn",positive,admiration
"Inspiring quá! Động lực lắm",positive,inspiration
"Role model thật sự",positive,praise
"Goals! Tôi muốn như bạn",positive,aspiration
"Bạn là idol của tôi",positive,admiration
"Dễ thương quá đi mất",positive,cute
"Adorable! Tim tôi tan chảy",positive,cute
"Cute overload! Không chịu nổi",positive,cute
"Awww! Ngọt ngào quá",positive,sweet
"Precious! Quý giá lắm",positive,endearing
"Wholesome content! Yêu lắm",positive,heartwarming
"Healing video! Tâm hồn thanh thản",positive,therapeutic
"Comforting! Ấm lòng quá",positive,comfort
"Peaceful vibes! Thư giãn lắm",positive,relaxing
"Good energy! Positive lắm",positive,uplifting
"Cringe quá! Không chịu được",negative,cringe
"Secondhand embarrassment",negative,cringe
"Awkward! Ngại ngùng giùm bạn",negative,awkward
"Too much! Quá đà rồi",negative,excessive
"Try hard quá không?",negative,criticism
"Forced! Không natural",negative,artificial
"Acting quá! Fake lắm",negative,fake
"Attention seeking much?",negative,criticism
"Show off! Khoe khoang",negative,showing_off
"Humble brag đúng không?",negative,criticism
"Flex hard quá bạn ơi",negative,showing_off
"Rich kid problems",negative,privilege
"First world problems",negative,trivial
"Privileged much?",negative,privilege
"Out of touch! Không realistic",negative,unrealistic
"Spoiled! Được nuông chiều quá",negative,spoiled
"Drama queen! Làm to chuyện",negative,dramatic
"Overreacting! Phản ứng thái quá",negative,excessive
"Chill đi bạn! Bình tĩnh",neutral,calm_down
"Relax! Đừng stress",neutral,reassurance
"No big deal! Không sao đâu",neutral,dismissive
"It's not that serious",neutral,perspective
"Breathe! Thở sâu vào",neutral,calming
"Take it easy",neutral,advice
"Slow down a bit",neutral,suggestion
"One step at a time",neutral,guidance
"Rome wasn't built in a day",neutral,patience
"Good things take time",positive,patience
"Tôi ship hai bạn này!",positive,shipping
"OTP của tôi đây!",positive,shipping
"Chemistry tuyệt vời!",positive,chemistry
"Perfect match! Đôi hoàn hảo",positive,compatibility
"Meant to be! Trời sinh một cặp",positive,destiny
"Couple goals thật sự!",positive,relationship_goals
"Relationship này precious lắm",positive,precious
"Love story này sweet quá",positive,romantic
"Fairy tale vibes!",positive,fairy_tale
"Happily ever after energy",positive,romantic
"Single pringle ở đây!",neutral,single_status
"Forever alone club",negative,loneliness
"Third wheel life",neutral,single_status
"Cupid skip tôi rồi",negative,loneliness
"Love is in the air, except for me",negative,loneliness
"Valentine's Day is coming, tôi cần gấu",neutral,single_status
"Ai rảnh thì inbox tôi",neutral,availability
"DM is open",neutral,contact
"Slide into my DM",neutral,flirting
"Hit me up if interested",neutral,contact
"Let's be friends!",positive,friendship
"Tôi vừa bị spoil rồi!",negative,spoiler
"Spoiler alert! Cảnh báo",neutral,warning
"No spoilers please!",neutral,request
"Đừng spoil cho ai nha",neutral,warning
"I'm not ready for spoilers",neutral,not_ready
"Spoiler-free zone here",neutral,preference
"Don't ruin it for others",neutral,consideration
"Keep it vague please",neutral,request
"Hint thôi, đừng nói rõ",neutral,request
"Cryptic comments only",neutral,instruction
"Easter egg! Tìm được rồi",positive,discovery
"Hidden detail! Tinh tế lắm",positive,attention_to_detail
"Foreshadowing! Báo hiệu trước",positive,literary_appreciation
"Plot twist! Không ngờ",positive,surprise
"Mind blown! Sốc não",positive,amazement
"Didn't see that coming",positive,surprise
"Predictable! Đoán được rồi",negative,predictable
"Saw it coming from miles away",negative,obvious
"Too obvious! Dễ đoán quá",negative,predictable
"Cliche! Sáo rỗng",negative,cliche
"Trope này cũ rồi",negative,overused
"Original! Sáng tạo lắm",positive,originality
"Fresh perspective! Góc nhìn mới",positive,innovative
"Creative! Độc đáo",positive,creativity
"Out of the box thinking",positive,innovative
"Groundbreaking! Đột phá",positive,revolutionary
"Game changer! Thay đổi cuộc chơi",positive,impactful
"Iconic! Biểu tượng luôn",positive,iconic
"Legendary! Huyền thoại",positive,legendary
"Epic! Hoành tráng",positive,epic
"Masterpiece! Kiệt tác",positive,masterpiece
"Chef's kiss! Hoàn hảo",positive,perfection
"*Chef's kiss*",positive,perfection
"Flawless execution",positive,perfect_execution
"Nailed it! Làm chuẩn",positive,success
"Killed it! Xuất sắc",positive,excellence
"Slayed! Hủy diệt",positive,dominance
"Destroyed! Nghiền nát",positive,overwhelming_success
"Demolished the competition",positive,victory
"Left no crumbs! Không chừa gì",positive,complete_success
"Ate and left no crumbs",positive,perfect_performance
"Served! Phục vụ chuẩn",positive,delivery
"Delivered! Giao hàng đúng hẹn",positive,fulfillment
"Did not disappoint",positive,met_expectations
"Exceeded expectations",positive,surpassed
"Blew my mind! Thổi bay tâm trí",positive,mind_blowing
"Goosebumps! Da gà",positive,emotional_impact
"Chills! Rùng mình",positive,powerful_effect
"Tears! Nước mắt",positive,emotional
"Ugly crying right now",positive,emotional_overwhelm
"Bawling my eyes out",positive,intense_emotion
"Sobbing! Khóc nức nở",positive,emotional_response
"Waterworks! Vòi nước mắt",positive,crying
"Tissue box empty",positive,emotional_impact
"Heart is full! Tim đầy ấp",positive,fulfillment
"Butterflies in stomach",positive,excitement
"Heart racing! Tim đập mạnh",positive,excitement
"Adrenaline rush! Máu sôi",positive,thrilling
"On the edge of my seat",positive,suspense
"Holding my breath",positive,tension
"Can't look away",positive,captivating
"Glued to the screen",positive,engrossing
"Binge-watching mode activated",positive,addictive
"One more episode syndrome",positive,compelling
"Sleep is for the weak",positive,prioritizing_content
"Productivity has left the chat",negative,distraction
"Procrastination level: expert",negative,procrastination
"Deadline? What deadline?",negative,avoidance
"Priorities? I don't know her",negative,misplaced_priorities
"Responsible adult? Not today",negative,irresponsibility
"ban noi dung lam, t dong y vs ban",positive,agreement
"b noi dung vl, t cug yk",positive,agreement
"t k thik cai nay lam",negative,dislike
"hoi buon chan chut",negative,boredom
"k hay lam, t nghi co the lam tot hon",negative,criticism
"hinh nhu co j do k dung",negative,doubt
"t k dong y voi quan diem nay",negative,disagreement
"chua thuyet phuc lam",negative,skepticism
"t cam thay hoi that vong",negative,disappointment
"k phai gu cua t",negative,personal_preference
"co ve k thu vi lam",negative,uninteresting
"t nghi can cai thien them",negative,suggestion
"dm may lam cai cc j day",toxic,vulgar
"thg ngu! k biet gi ma ns",toxic,insult
"may ns lung tung v",toxic,offensive
"ccmm may",toxic,curse
"im di! k ai hoi may het",toxic,aggressive
"cam on b nhieu nhe",positive,gratitude
"thanks b da share",positive,gratitude
"b noi ra dieu t nghi",positive,resonance
"exactly! chinh xac lun",positive,strong_agreement
"t cug nghi v",positive,agreement
"video hay vl luon!",positive,excitement
"tks vi da chia se nhe",positive,gratitude
"thx b nhieu nha",positive,gratitude
"spam vl! bao cao liền",negative,complaint
"quang cao hoai, chan vl",negative,annoyance
"fake news! dung tin",negative,warning
"lua dao do mn",negative,warning
"clickbait vo duyen vl",negative,criticism
"Secondhand embarrassment",negative,cringe
"Awkward! Ngại ngùng giùm bạn",negative,awkward
"Too much! Quá đà rồi",negative,excessive
"Try hard quá không?",negative,criticism
"Forced! Không natural",negative,artificial
"Acting quá! Fake lắm",negative,fake
"Attention seeking much?",negative,criticism
"Show off! Khoe khoang",negative,showing_off
"Humble brag đúng không?",negative,criticism
"Flex hard quá bạn ơi",negative,showing_off
"Rich kid problems",negative,privilege
"First world problems",negative,trivial
"Privileged much?",negative,privilege
"Out of touch! Không realistic",negative,unrealistic
"Spoiled! Được nuông chiều quá",negative,spoiled
"Drama queen! Làm to chuyện",negative,dramatic
"Overreacting! Phản ứng thái quá",negative,excessive
"Chill đi bạn! Bình tĩnh",neutral,calm_down
"Relax! Đừng stress",neutral,reassurance
"No big deal! Không sao đâu",neutral,dismissive
"It's not that serious",neutral,perspective
"Breathe! Thở sâu vào",neutral,calming
"Take it easy",neutral,advice
"Slow down a bit",neutral,suggestion
"One step at a time",neutral,guidance
"Rome wasn't built in a day",neutral,patience
"Good things take time",positive,patience
"Tôi ship hai bạn này!",positive,shipping
"OTP của tôi đây!",positive,shipping
"Chemistry tuyệt vời!",positive,chemistry
"Perfect match! Đôi hoàn hảo",positive,compatibility
"Meant to be! Trời sinh một cặp",positive,destiny
"Couple goals thật sự!",positive,relationship_goals
"Relationship này precious lắm",positive,precious
"Love story này sweet quá",positive,romantic
"Fairy tale vibes!",positive,fairy_tale
"Happily ever after energy",positive,romantic
"Single pringle ở đây!",neutral,single_status
"Forever alone club",negative,loneliness
"Third wheel life",neutral,single_status
"Cupid skip tôi rồi",negative,loneliness
"Love is in the air, except for me",negative,loneliness
"Valentine's Day is coming, tôi cần gấu",neutral,single_status
"Ai rảnh thì inbox tôi",neutral,availability
"DM is open",neutral,contact
"Slide into my DM",neutral,flirting
"Hit me up if interested",neutral,contact
"Let's be friends!",positive,friendship
"Tôi vừa bị spoil rồi!",negative,spoiler
"Spoiler alert! Cảnh báo",neutral,warning
"No spoilers please!",neutral,request
"Đừng spoil cho ai nha",neutral,warning
"I'm not ready for spoilers",neutral,not_ready
"Spoiler-free zone here",neutral,preference
"Don't ruin it for others",neutral,consideration
"Keep it vague please",neutral,request
"Hint thôi, đừng nói rõ",neutral,request
"Cryptic comments only",neutral,instruction
"Easter egg! Tìm được rồi",positive,discovery
"Hidden detail! Tinh tế lắm",positive,attention_to_detail
"Foreshadowing! Báo hiệu trước",positive,literary_appreciation
"Plot twist! Không ngờ",positive,surprise
"Mind blown! Sốc não",positive,amazement
"Didn't see that coming",positive,surprise
"Predictable! Đoán được rồi",negative,predictable
"Saw it coming from miles away",negative,obvious
"Too obvious! Dễ đoán quá",negative,predictable
"Cliche! Sáo rỗng",negative,cliche
"Trope này cũ rồi",negative,overused
"Original! Sáng tạo lắm",positive,originality
"Fresh perspective! Góc nhìn mới",positive,innovative
"Creative! Độc đáo",positive,creativity
"Out of the box thinking",positive,innovative
"Groundbreaking! Đột phá",positive,revolutionary
"Game changer! Thay đổi cuộc chơi",positive,impactful
"Iconic! Biểu tượng luôn",positive,iconic
"Legendary! Huyền thoại",positive,legendary
"Epic! Hoành tráng",positive,epic
"Masterpiece! Kiệt tác",positive,masterpiece
"Chef's kiss! Hoàn hảo",positive,perfection
"*Chef's kiss*",positive,perfection
"Flawless execution",positive,perfect_execution
"Nailed it! Làm chuẩn",positive,success
"Killed it! Xuất sắc",positive,excellence
"Slayed! Hủy diệt",positive,dominance
"Destroyed! Nghiền nát",positive,overwhelming_success
"Demolished the competition",positive,victory
"Left no crumbs! Không chừa gì",positive,complete_success
"Ate and left no crumbs",positive,perfect_performance
"Served! Phục vụ chuẩn",positive,delivery
"Delivered! Giao hàng đúng hẹn",positive,fulfillment
"Did not disappoint",positive,met_expectations
"Exceeded expectations",positive,surpassed
"Blew my mind! Thổi bay tâm trí",positive,mind_blowing
"Goosebumps! Da gà",positive,emotional_impact
"Chills! Rùng mình",positive,powerful_effect
"Tears! Nước mắt",positive,emotional
"Ugly crying right now",positive,emotional_overwhelm
"Bawling my eyes out",positive,intense_emotion
"Sobbing! Khóc nức nở",positive,emotional_response
"Waterworks! Vòi nước mắt",positive,crying
"Tissue box empty",positive,emotional_impact
"Heart is full! Tim đầy ấp",positive,fulfillment
"Butterflies in stomach",positive,excitement
"Heart racing! Tim đập mạnh",positive,excitement
"Adrenaline rush! Máu sôi",positive,thrilling
"On the edge of my seat",positive,suspense
"Holding my breath",positive,tension
"Can't look away",positive,captivating
"Glued to the screen",positive,engrossing
"Binge-watching mode activated",positive,addictive
"One more episode syndrome",positive,compelling
"Sleep is for the weak",positive,prioritizing_content
"Productivity has left the chat",negative,distraction
"Procrastination level: expert",negative,procrastination
"Deadline? What deadline?",negative,avoidance
"Priorities? I don't know her",negative,misplaced_priorities
"Responsible adult? Not today",negative,irresponsibility
"ko biet noi gi ca",neutral,speechless
"cung dc thoi",neutral,acceptance
"tam on",neutral,mediocre
"binh thuong",neutral,ordinary
"ko co y kien gi",neutral,no_opinion
"tuy ban",neutral,indifference
"dc roi",neutral,acceptance
"cung hay",positive,decent
"rat ok",positive,good
"tuyet voi qua",positive,excellent
"hay lam",positive,good_job
"dep trai qua",positive,handsome
"xinh gai qua",positive,beautiful
"cute wa di",positive,cute
"dang yeu qua",positive,adorable
"k thich lam",negative,dislike
"te qua",negative,terrible
"do ngu",toxic,insult
"ngu nhu bo",toxic,extreme_insult
"con cho",toxic,animal_insult
"thang lon",toxic,vulgar
"me may",toxic,extreme_vulgar
"dit me",toxic,extreme_vulgar
"cc gi day",toxic,confusion_vulgar
"vcl",toxic,abbreviation_vulgar
"wtf",toxic,confusion_vulgar
"dm",toxic,abbreviation_vulgar
"cmm",toxic,abbreviation_vulgar
"clmm",toxic,extreme_abbreviation_vulgar
"dcm",toxic,abbreviation_vulgar
"dcmm",toxic,extreme_abbreviation_vulgar
"vl",toxic,abbreviation_vulgar
"cl",toxic,abbreviation_vulgar
"lol rat hai",positive,funny
"lmao cuoi te",positive,hilarious
"rofl khong chiu noi",positive,extremely_funny
"haha ok ban",positive,laugh_agreement
"hehe cute",positive,cute_laugh
"hihi dang yeu",positive,sweet_laugh
"kkk hai qua",positive,korean_laugh
"555 thai funny",positive,thai_laugh
"23333 trung funny",positive,chinese_laugh
"wwww nhat funny",positive,japanese_laugh
"sao the",neutral,question
"sao vay",neutral,inquiry
"tai sao",neutral,why
"vi sao",neutral,reason
"the nao",neutral,how
"lam sao",neutral,method
"khi nao",neutral,when
"o dau",neutral,where
"ai day",neutral,who
"cai gi",neutral,what
"bao nhieu",neutral,how_much
"may gio",neutral,what_time
"ngay nao",neutral,which_day
"thang nao",neutral,which_month
"nam nao",neutral,which_year
"bn tuoi",neutral,age_question
"hok biet",neutral,dont_know
"ko ro",neutral,unclear
"chua hieu",negative,confusion
"hok hieu gi het",negative,total_confusion
"noi gi the",negative,what_are_you_saying
"gi ma",neutral,what_is_this
"cai deo gi",toxic,wtf_vulgar
"omg qua tuyet",positive,amazing
"wtf ngu qua",toxic,stupid_wtf
"bruh moment",negative,disappointment
"oke ban nhe",neutral,okay_polite
"ok luon",neutral,okay_strong
"okie dokie",neutral,cute_okay
"roger that",neutral,understood
"copy that",neutral,acknowledged
"10-4",neutral,radio_confirm
"yes sir",neutral,formal_yes
"aye aye captain",neutral,playful_yes
"gotcha",neutral,understood
"bet",neutral,agreement
"say less",neutral,understood
"bet that",positive,strong_agreement
"no cap",positive,truth
"fr fr",positive,for_real
"periodt",positive,period_emphasis
"and i oop",neutral,awkward_moment
"sksksk",positive,laugh_gen_z
"tea",neutral,gossip
"spill the tea",neutral,share_gossip
"that's the tea",neutral,truth_gossip
"periodt pooh",positive,emphasis_cute
"purr",positive,approval_gen_z
"slay queen",positive,encouragement
"go off",positive,expression_support
"we stan",positive,support
"stan loona",positive,kpop_stan
"bias wrecker",positive,kpop_term
"ult bias",positive,ultimate_favorite
"visual king",positive,attractive_praise
"vocal queen",positive,singing_praise
"dance machine",positive,dancing_praise
"rap god",positive,rapping_praise
"all rounder",positive,multi_talented
"ace",positive,all_around_talent
"golden maknae",positive,talented_youngest
"nation's mc",positive,hosting_praise
"cf king",positive,advertisement_popular
"ost queen",positive,soundtrack_specialist
"variety idol",positive,variety_show_good
"sns king",positive,social_media_popular
"selfie queen",positive,selfie_expert
"airport fashion",positive,travel_style
"red carpet look",positive,formal_fashion
"casual king",positive,everyday_style
"street style",positive,urban_fashion
"vintage vibes",positive,retro_style
"y2k aesthetic",positive,2000s_style
"cottagecore",positive,rural_aesthetic
"dark academia",positive,scholarly_aesthetic
"soft girl",positive,gentle_aesthetic
"e-girl",positive,alternative_online
"vsco girl",positive,environmental_aesthetic
"that girl",positive,perfect_lifestyle
"clean girl",positive,minimal_makeup
"no makeup makeup",positive,natural_look
"glass skin",positive,perfect_complexion
"honey skin",positive,golden_glow
"dewy skin",positive,hydrated_look
"matte finish",positive,non_shiny_makeup
"highlight poppin",positive,glowing_cheekbones
"contour snatched",positive,sculpted_face
"brows on fleek",positive,perfect_eyebrows
"lashes for days",positive,long_eyelashes
"lip combo",positive,lipstick_combination
"mlbb shade",positive,natural_lip_color
"holy grail",positive,favorite_product
"repurchase",positive,buy_again
"empties",neutral,used_up_products
"haul",neutral,shopping_spree
"unboxing",neutral,opening_packages
"first impressions",neutral,initial_thoughts
"wear test",neutral,product_trial
"before and after",neutral,transformation
"get ready with me",neutral,morning_routine
"grwm",neutral,get_ready_abbreviation
"ootd",neutral,outfit_of_day
"fotd",neutral,face_of_day
"motd",neutral,makeup_of_day
"notd",neutral,nails_of_day
"sotd",neutral,scent_of_day
"potd",neutral,product_of_day
"qotd",neutral,question_of_day
"totd",neutral,tip_of_day
"wotd",neutral,word_of_day
"cotd",neutral,color_of_day
"mood",neutral,current_feeling
"vibe check",neutral,feeling_assessment
"energy",neutral,personal_aura
"aura",positive,personal_presence
"main character",positive,protagonist_energy
"side character",negative,background_person
"npc energy",negative,non_player_character
"background character",negative,unimportant_person
"extra",negative,unnecessary_person
"supporting role",neutral,helper_person
"plot armor",positive,protected_status
"character development",positive,personal_growth
"redemption arc",positive,improvement_story
"villain arc",negative,becoming_bad
"hero's journey",positive,adventure_growth
"coming of age",positive,maturity_story
"slow burn",positive,gradual_development
"enemies to lovers",positive,relationship_trope
"friends to lovers",positive,relationship_progression
"love triangle",negative,complicated_romance
"second lead syndrome",negative,wrong_choice_pain
"happy ending",positive,satisfying_conclusion
"cliffhanger",negative,suspenseful_ending
"plot hole",negative,story_inconsistency
"deus ex machina",negative,convenient_solution
"mary sue",negative,perfect_character
"gary stu",negative,perfect_male_character
"self insert",negative,author_projection
"power fantasy",positive,wish_fulfillment
"guilty pleasure",positive,embarrassing_enjoyment
"comfort show",positive,relaxing_content
"comfort food",positive,satisfying_meal
"soul food",positive,emotionally_nourishing
"brain food",positive,intellectually_stimulating
"eye candy",positive,visually_pleasing
"ear candy",positive,pleasant_sounds
"arm candy",negative,attractive_accessory_person
"trophy wife",negative,status_symbol_spouse
"sugar daddy",negative,financial_relationship
"gold digger",negative,money_motivated
"clout chaser",negative,fame_seeker
"social climber",negative,status_seeker
"wannabe",negative,aspiring_poser
"poser",negative,fake_person
"fake it till you make it",neutral,pretend_until_real
"dress for the job you want",positive,aspirational_dressing
"act as if",positive,confidence_building
"manifestation",positive,positive_thinking
"law of attraction",positive,mindset_belief
"good vibes only",positive,positivity_only
"positive energy",positive,good_feelings
"toxic positivity",negative,forced_happiness
"gaslight gatekeep girlboss",negative,problematic_feminism
"live laugh love",negative,basic_motto
"blessed",positive,grateful_feeling
"grateful",positive,thankful_emotion
"thankful",positive,appreciation_feeling
"abundance mindset",positive,plenty_thinking
"scarcity mindset",negative,lack_thinking
"growth mindset",positive,learning_attitude
"fixed mindset",negative,static_thinking
"Bài viết này thực sự rất hữu ích",positive,useful
"Bạn chia sẻ thông tin rất rõ ràng",positive,appreciation
"Cảm ơn bạn đã cung cấp kiến thức bổ ích",positive,gratitude
"Mình sẽ lưu lại để đọc sau",positive,interest
"Quan điểm này mình hoàn toàn đồng tình",positive,agreement
"Chủ đề này đang rất hot, cảm ơn bạn đã viết",positive,trending
"Nội dung hấp dẫn và dễ hiểu",positive,appreciation
"Mình sẽ áp dụng thử cách bạn nói",positive,useful
"Bài viết chi tiết và chuyên sâu quá",positive,appreciation
"Tác giả có vẻ rất am hiểu lĩnh vực này",positive,compliment
"Tôi không đồng tình với ý kiến trên",negative,disagreement
"Nội dung thiếu chiều sâu và khó hiểu",negative,criticism
"Bài viết lan man, chưa rõ ý chính",negative,confusion
"Hơi thiên vị một phía",negative,bias
"Thông tin không được kiểm chứng rõ ràng",negative,warning
"Bài viết gây tranh cãi quá",negative,controversial
"Phong cách viết hơi khô khan",negative,style
"Đọc hơi mệt vì cách trình bày",negative,criticism
"Không phù hợp với người mới bắt đầu",negative,accessibility
"Chưa thuyết phục mình lắm",negative,skepticism
"Mày ngu quá đi!",toxic,insult
"Biến mẹ mày đi!",toxic,curse
"Câm mồm lại đi thằng óc chó",toxic,aggressive
"Thật là ngu hết phần thiên hạ",toxic,insult
"Loại người như mày không nên tồn tại",toxic,hate
"Ngu như bò",toxic,insult
"Đừng có láo!",toxic,rude
"Chó chết!",toxic,curse
"Không ai thèm quan tâm đâu",toxic,offensive
"Lượn đi cho nước nó trong",toxic,aggressive
"Hay quá bạn ơi! Làm thêm video như này nhé",positive,encouragement
